word_or_phrase,frequency
свитшот,58
одной,58
тёплая,58
объём,58
вполне,58
этикетка,58
принт,58
довольно,57
улица,57
ужас,57
других,57
само,57
факт,57
пожалеть,57
жалко,57
идёт,57
бер,56
мал,56
водолазка,56
дождь,56
увидеть,56
штанов,56
завысить,56
заметить,56
постоянно,56
чтото,56
горка,56
удачный,56
странный,56
orby,55
штрипка,55
получить,55
кривой,55
заказывала,55
малый,55
причина,54
парень,54
классно,54
третий,54
прямо,54
клёвый,53
приличный,53
считать,53
советовать,53
ремень,53
порадовать,53
мала,53
состояние,53
шарф,53
шапка,52
счастливый,52
притык,52
тугой,52
добротный,52
оставлять,52
размера,52
сайт,52
шорты,52
плащ,52
дело,51
рад,51
большеват,51
померить,51
появиться,51
большевата,51
внешне,51
комбенизон,51
высоко,51
носочки,51
расстроить,50
ужасно,50
самом,50
сложный,50
район,50
страшный,50
мама,50
парка,50
внешний,50
колоться,50
приятная,50
одинаковый,50
дома,49
ворот,49
температура,49
ооочень,49
штанах,49
ваш,49
застёжка,49
дорого,49
любимый,49
оценить,48
примерно,48
красный,48
намного,48
светоотражающий,48
летний,48
милый,48
ветровка,47
ручка,47
начать,47
нарекание,47
также,47
объёмный,47
жёсткий,47
рукавах,47
целое,47
работать,47
полненький,47
жакет,47
пижамка,47
относить,46
пойдёт,46
синтепон,46
орби,46
важный,46
таки,46
коллекция,46
давить,46
получаться,46
великовата,46
жилетка,46
неё,45
холодно,45
жаркий,45
увы,45
слегка,45
бирка,45
сами,45
шуршать,44
замечательно,44
сравнение,44
дизайн,44
видеть,44
спереди,44
случай,44
вб,44
джинс,44
около,43
носиться,43
достойный,43
обидный,43
сегодня,43
элемент,43
понимать,43
угадать,43
сомнение,43
разница,43
дом,43
садиться,43
мяться,43
реймы,43
юбочка,43
полоска,43
бояться,42
тёпленький,42
практически,42
застёгивать,42
рекомендую,42
насыщенный,42
учитывать,42
бок,42
плотно,42
кстати,42
деток,42
давно,42
плечах,42
круто,42
демисезон,42
sela,42
внимание,41
открыть,41
зелёный,41
выше,41
человек,41
малы,41
маломерок,41
состав,41
никак,41
нарядный,41
сад,41
младший,41
грязь,41
успеть,40
домой,40
разочаровать,40
перезакажу,40
отвратительный,40
сковывать,40
пух,40
деталь,40
плотненький,40
рваный,40
шикарно,40
влюбиться,40
которая,40
мнется,40
слово,40
абсолютно,40
гулливер,40
плотные,39
угадала,39
разойтись,39
странно,39
причём,39
перезаказать,39
выкуп,39
впечатление,39
желать,39
плотность,39
